id,latitud,longitud
1,25.711965,-100.361257
2,25.653102,-100.283998
3,25.653768,-100.289731
4,25.660417,-100.28206
5,25.660194,-100.286566
6,25.65539,-100.29415
7,25.742556,-100.385049
8,25.739362,-100.387608
9,25.645589,-100.292883
10,25.64667,-100.294868
11,25.642257,-100.278011
12,25.640458,-100.282839
13,25.763592,-100.400286
14,25.741709,-100.405448
15,25.626804,-100.273514
16,25.704433,-100.341789
17,25.583781,-100.244801
18,25.601269,-100.264115
19,25.684504,-100.298568
20,25.767616,-100.415756
21,25.648812,-100.290031
22,25.715271,-100.372923
23,25.701235,-100.316326
24,25.677818,-100.355295
25,25.643356,-100.30106
26,25.714157,-100.362213
27,25.69573,-100.380214
28,25.686811,-100.308209
29,25.660928,-100.313461
30,25.6916,-100.277529
31,25.729123,-100.394834
32,25.73075,-100.392574
33,25.726581,-100.394917
34,25.69731,-100.356681
35,25.713148,-100.379685
36,25.668166,-100.311854
37,25.6727,-100.31773
38,25.674192,-100.313424
39,25.676022,-100.314242
40,25.679469,-100.313734
41,25.681275,-100.313882
42,25.717172,-100.353732
43,25.713136,-100.348399
44,25.7144,-100.350663
45,25.69963,-100.342964
46,25.644291,-100.297176
47,25.649704,-100.297475
48,25.637465,-100.312382
49,25.684179,-100.313488
50,25.685091,-100.317246
51,25.69632,-100.317119
52,25.669806,-100.327272
53,25.775169,-100.387529
54,25.740994,-100.353626
55,25.682205,-100.299148
56,25.708154,-100.327828
57,25.597825,-100.263407
58,25.671232,-100.320049
59,25.68739,-100.330674
60,25.687091,-100.33335
61,25.762976,-100.413154
62,25.721172,-100.387571
63,25.712546,-100.377239
64,25.689827,-100.344592
65,25.64534,-100.275013
66,25.684533,-100.320797
67,25.706186,-100.314082
68,25.680765,-100.322606
69,25.703437,-100.287597
70,25.6377,-100.316527
71,25.665222,-100.309067
72,25.681625,-100.37067
73,25.583989,-100.249152
74,25.57835,-100.241438
75,25.58962,-100.249508
76,25.598172,-100.254116
77,25.589299,-100.252873
78,25.603312,-100.257724
79,25.693642,-100.344058
80,25.70691,-100.316448
81,25.723052,-100.342415
82,25.750208,-100.349652
83,25.75361,-100.352668
84,25.747026,-100.349158
85,25.617112,-100.267138
86,25.677074,-100.32161
87,25.756161,-100.356902
88,25.789874,-100.379016
89,25.632932,-100.299899
90,25.619471,-100.296202
91,25.621876,-100.298016
92,25.663893,-100.328045
93,25.686492,-100.332076
94,25.625545,-100.293164
95,25.70607,-100.342702
96,25.705454,-100.342124
97,25.674939,-100.318239
98,25.767681,-100.420702
99,25.668787,-100.292011
100,25.673825,-100.274919
101,25.628938,-100.296824
102,25.704583,-100.348165
103,25.682776,-100.266183
104,25.686638,-100.264274
105,25.687035,-100.277358
106,25.566327,-100.238792
107,25.535991,-100.21907
108,25.582115,-100.257521
109,25.667599,-100.313748
110,25.668283,-100.319259
111,25.671166,-100.315796
112,25.674284,-100.311108
113,25.689587,-100.31746
114,25.66284,-100.297599
115,25.671806,-100.314769
116,25.684106,-100.312629
117,25.683142,-100.312567
118,25.686104,-100.268785
119,25.691643,-100.268742
120,25.672451,-100.319503
121,25.683119,-100.276722
122,25.681563,-100.276079
123,25.715561,-100.309847
124,25.671457,-100.312726
125,25.734462,-100.377478
126,25.732212,-100.374506
127,25.671616,-100.368278
128,25.67129,-100.344375
129,25.779269,-100.38576
130,25.777799,-100.384772
131,25.7755,-100.381581
132,25.767952,-100.393811
133,25.730376,-100.346414
134,25.682415,-100.302008
135,25.683213,-100.30938
136,25.682469,-100.29726
137,25.698171,-100.295174
138,25.687571,-100.296632
139,25.625813,-100.273351
140,25.676489,-100.290952
141,25.68095,-100.290524
142,25.709498,-100.327286
143,25.711866,-100.32854
144,25.704143,-100.331318
145,25.674865,-100.371947
146,25.579268,-100.248573
147,25.666452,-100.279997
148,25.728956,-100.384252
149,25.762317,-100.372139
150,25.703672,-100.303558
151,25.703781,-100.307261
152,25.624459,-100.299798
153,25.648263,-100.285511
154,25.592532,-100.266171
155,25.688652,-100.332004
156,25.698932,-100.33185
157,25.675489,-100.325226
158,25.669638,-100.32295
159,25.711344,-100.301251
160,25.674103,-100.35768
161,25.678187,-100.35191
162,25.688227,-100.334372
163,25.700362,-100.337647
164,25.71168,-100.349924
165,25.668901,-100.350244
166,25.737215,-100.367173
167,25.674314,-100.332897
168,25.665854,-100.273374
169,25.69686,-100.310906
170,25.713296,-100.342738
171,25.716357,-100.34278
172,25.716863,-100.342208
173,25.699724,-100.325027
174,25.686531,-100.32323
175,25.737564,-100.332337
176,25.747989,-100.385815
177,25.768058,-100.407981
178,25.775389,-100.401027
179,25.780758,-100.397344
180,25.664551,-100.30649
181,25.686669,-100.341425
182,25.685737,-100.333163
183,25.688733,-100.316465
184,25.689266,-100.311315
185,25.734178,-100.332719
186,25.668146,-100.320462
187,25.67535,-100.364041
188,25.674845,-100.357655
189,25.586386,-100.243972
190,25.748978,-100.428589
191,25.773811,-100.3809
192,25.747816,-100.344501
193,25.735379,-100.342888
194,25.768904,-100.367921
195,25.737781,-100.35068
196,25.768292,-100.415138
197,25.712672,-100.34691
198,25.708046,-100.356011
199,25.676689,-100.298074
200,25.622281,-100.281316
201,25.714297,-100.308594
202,25.657079,-100.302243
203,25.694836,-100.297686
204,25.686549,-100.312221
205,25.670293,-100.335875
206,25.622355,-100.288229
207,25.620601,-100.28543
208,25.615514,-100.277521
209,25.610486,-100.275483
210,25.601685,-100.265504
211,25.675061,-100.319176
212,25.723459,-100.336784
213,25.714864,-100.325585
214,25.650209,-100.29268
215,25.71204,-100.372123
216,25.707545,-100.368081
217,25.69999,-100.346909
218,25.751465,-100.410675
219,25.745408,-100.410213
220,25.706369,-100.223385
221,25.707675,-100.21441
222,25.690434,-100.213426
223,25.691645,-100.212556
224,25.684265,-100.213771
225,25.667217,-100.224996
226,25.661063,-100.252571
227,25.695818,-100.232128
228,25.695067,-100.230628
229,25.703424,-100.238994
230,25.704922,-100.159328
231,25.701281,-100.163539
232,25.71968,-100.181846
233,25.702886,-100.258511
234,25.692783,-100.254401
235,25.691821,-100.258102
236,25.695152,-100.254927
237,25.68713,-100.189967
238,25.692585,-100.245775
239,25.665755,-100.217012
240,25.664037,-100.214412
241,25.664787,-100.209133
242,25.699705,-100.213398
243,25.668869,-100.213534
244,25.680778,-100.24374
245,25.684224,-100.243823
246,25.668693,-100.234411
247,25.669272,-100.232524
248,25.692766,-100.24282
249,25.675114,-100.210944
250,25.718444,-100.191441
251,25.708186,-100.179284
252,25.723322,-100.190582
253,25.718911,-100.196656
254,25.70909,-100.192567
255,25.693347,-100.183136
256,25.714735,-100.187722
257,25.709274,-100.184549
258,25.687651,-100.181265
259,25.694134,-100.19003
260,25.696312,-100.210895
261,25.681236,-100.172057
262,25.683728,-100.17328
263,25.680743,-100.174551
264,25.682616,-100.214042
265,25.683891,-100.207806
266,25.686381,-100.196326
267,25.696746,-100.217303
268,25.721872,-100.202293
269,25.641867,-100.268252
270,25.659913,-100.232202
271,25.670214,-100.181075
272,25.658869,-100.180686
273,25.649129,-100.266507
274,25.727883,-100.193139
275,25.680002,-100.257589
276,25.705337,-100.207276
277,25.652213,-100.201578
278,25.660809,-100.195465
279,25.654788,-100.19167
280,25.660618,-100.184871
281,25.721041,-100.183482
282,25.729149,-100.178039
283,25.646799,-100.177768
284,25.665152,-100.164786
285,25.656936,-100.172209
286,25.728101,-100.185662
287,25.724936,-100.184626
288,25.641215,-100.203446
289,25.635227,-100.195721
290,25.715504,-100.206927
291,25.65319,-100.202847
292,25.67952,-100.243308
293,25.679372,-100.265165
294,25.687599,-100.246142
295,25.681028,-100.252663
296,25.667629,-100.20327
297,25.668272,-100.200873
298,25.696669,-100.26147
299,25.696689,-100.143215
300,25.644438,-100.18575
301,25.648199,-100.188818
302,25.71268,-100.204177
303,25.694251,-100.240115
304,25.65107,-100.197665
305,25.650513,-100.195163
306,25.693522,-100.214036
307,25.703383,-100.250283
308,25.703037,-100.231238
309,25.655967,-100.182238
310,25.655168,-100.214304
311,25.709464,-100.181458
312,25.648237,-100.183137
313,25.667582,-100.177252
314,25.674734,-100.191447
315,25.674048,-100.190893
316,25.681342,-100.168867
317,25.664315,-100.187837
318,25.730889,-100.199553
319,25.65191,-100.18561
320,25.658676,-100.189637
321,25.649721,-100.188947
322,25.648781,-100.189413
323,25.672752,-100.237801
324,25.70742,-100.199427
325,25.656189,-100.262327
326,25.679434,-100.258409
327,25.686989,-100.126479
328,25.652121,-100.159713
329,25.719439,-100.180052
330,25.66606,-100.269593
331,25.701106,-100.240116
332,25.666803,-100.160331
333,25.671315,-100.158981
334,25.700613,-100.20178
335,25.672099,-100.23019
336,25.678068,-100.162571
337,25.724398,-100.222578
338,25.72802,-100.240865
339,25.718087,-100.266163
340,25.716097,-100.283765
341,25.717825,-100.235552
342,25.715935,-100.240861
343,25.7134,-100.24838
344,25.760773,-100.270216
345,25.750545,-100.268988
346,25.762502,-100.27305
347,25.749766,-100.279032
348,25.754906,-100.247925
349,25.732811,-100.210038
350,25.72568,-100.258442
351,25.75781,-100.265638
352,25.732584,-100.234783
353,25.730525,-100.225629
354,25.734559,-100.270755
355,25.735157,-100.269849
356,25.748977,-100.256345
357,25.761199,-100.274548
358,25.768626,-100.279207
359,25.755917,-100.266004
360,25.741087,-100.270805
361,25.75419,-100.274195
362,25.73518,-100.262198
363,25.753183,-100.248054
364,25.720176,-100.221599
365,25.759761,-100.295183
366,25.762081,-100.28779
367,25.722851,-100.256376
368,25.740032,-100.238996
369,25.712617,-100.247049
370,25.736474,-100.253953
371,25.733089,-100.247849
372,25.714264,-100.245582
373,25.714658,-100.273102
374,25.755733,-100.285695
375,25.746112,-100.260424
376,25.707785,-100.246705
377,25.753215,-100.299643
378,25.742985,-100.311638
379,25.751753,-100.259441
380,25.751508,-100.253639
381,25.763043,-100.305321
382,25.755268,-100.283255
383,25.748589,-100.248796
384,25.732517,-100.248645
385,25.709771,-100.264044
386,25.714715,-100.252761
387,25.749191,-100.280853
388,25.745278,-100.30616
389,25.746574,-100.302494
390,25.718807,-100.277052
391,25.723751,-100.214077
392,25.744974,-100.293036
393,25.729907,-100.274503
394,25.730117,-100.28896
395,25.734457,-100.217544
396,25.73309,-100.315212
397,25.758771,-100.296448
