id,latitud,longitud
1,25.624226,-100.274771
2,25.632994,-100.299669
3,25.699679,-100.29336
4,25.724321,-100.327885
5,25.682924,-100.306823
6,25.683512,-100.312509
7,25.708115,-100.309494
8,25.695097,-100.297831
9,25.728868,-100.394696
10,25.72697,-100.391
11,25.697293,-100.35648
12,25.696863,-100.357565
13,25.682271,-100.276898
14,25.716917,-100.384229
15,25.682732,-100.265261
16,25.717967,-100.310177
17,25.674675,-100.357734
18,25.677541,-100.320473
19,25.702647,-100.278495
20,25.683399,-100.28707
21,25.706301,-100.314329
22,25.679773,-100.316455
23,25.665386,-100.312465
24,25.674457,-100.375983
25,25.775304,-100.381539
26,25.775331,-100.387453
27,25.681884,-100.296927
28,25.698332,-100.295161
29,25.687611,-100.296667
30,25.681737,-100.294774
31,25.680541,-100.290277
32,25.70481,-100.333392
33,25.704263,-100.33172
34,25.676478,-100.33186
35,25.669929,-100.320346
36,25.699497,-100.32502
37,25.774525,-100.400651
38,25.664414,-100.306366
39,25.68585,-100.327726
40,25.73811,-100.325905
41,25.717306,-100.345158
42,25.716541,-100.346783
43,25.664746,-100.334651
44,25.635038,-100.281783
45,25.644411,-100.297069
46,25.671969,-100.337244
47,25.634092,-100.272841
48,25.69626,-100.325168
49,25.655786,-100.305509
50,25.703958,-100.287223
51,25.625549,-100.293167
52,25.670284,-100.329779
53,25.706476,-100.283644
54,25.632399,-100.30208
55,25.661268,-100.252613
56,25.702962,-100.258748
57,25.678092,-100.231261
58,25.664695,-100.208836
59,25.678812,-100.236505
60,25.693896,-100.212915
61,25.697722,-100.22593
62,25.690656,-100.213669
63,25.702852,-100.214344
64,25.694287,-100.239921
65,25.694454,-100.212066
66,25.702813,-100.250419
67,25.654726,-100.208841
68,25.692762,-100.245578
69,25.66049,-100.196503
70,25.665624,-100.26616
71,25.66972,-100.170844
72,25.709026,-100.192355
73,25.668719,-100.234642
74,25.707287,-100.199699
75,25.690276,-100.212603
76,25.680191,-100.267642
77,25.674989,-100.206732
78,25.669642,-100.235898
79,25.690608,-100.250369
80,25.706144,-100.1665
81,25.715601,-100.28421
82,25.716061,-100.248833
83,25.709949,-100.264045
84,25.713592,-100.24831
85,25.736407,-100.304203
86,25.732979,-100.209969
87,25.748906,-100.256521
88,25.736633,-100.244083
89,25.722342,-100.214779
90,25.751136,-100.254037
91,25.730618,-100.252813
92,25.756143,-100.285549
93,25.733374,-100.290514
94,25.754623,-100.276916
95,25.725513,-100.258659
96,25.755642,-100.245496
97,25.711284,-100.291325
98,25.744246,-100.231689
99,25.738932,-100.286077
100,25.747263,-100.199081
101,25.760415,-100.172527
102,25.730563,-100.186723
103,25.746568,-100.194322
104,25.766716,-100.200962
105,25.744736,-100.160971
106,25.736371,-100.20828
107,25.73691,-100.206873
108,25.745332,-100.17791
109,25.753023,-100.240753
110,25.784079,-100.190574
111,25.811559,-100.249918
112,25.773425,-100.201137
113,25.805522,-100.224522
114,25.830389,-100.258633
115,25.704736,-100.155715
116,25.748367,-100.129269
117,25.728773,-100.145747
118,25.820672,-100.221114
119,25.797559,-100.202416
120,25.772555,-100.259738
121,25.778626,-100.202835
122,25.780522,-100.197888
123,25.816342,-100.337577
124,25.827201,-100.287927
125,25.801209,-100.3154
126,25.835326,-100.31219
127,25.825968,-100.295956
128,25.795106,-100.309282
129,25.768998,-100.315826
130,25.797423,-100.338411
131,25.678971,-100.438773
132,25.67742,-100.437513
133,25.685264,-100.444046
134,25.742004,-100.514286
135,25.674788,-100.429115
136,25.684774,-100.47992
137,25.685703,-100.487248
138,25.704376,-100.484501
139,25.698941,-100.546553
140,25.648516,-100.329735
141,25.674219,-100.402405
142,25.658433,-100.36507
143,25.774736,-100.428591
144,25.801252,-100.58372
145,25.603516,-99.980111
146,25.559406,-100.006245
147,25.60064,-99.970279
148,25.601099,-99.971749
149,25.602536,-99.973744
150,25.600177,-99.999629
151,25.598464,-100.0281
152,25.574472,-100.010829
153,25.598698,-99.932867
154,25.59997,-99.975338
155,25.61125,-100.048392
