id,latitud,longitud
1,21.87689,102.2828
2,32.40878,117.58447
3,32.5442,116.98814
4,32.55434,116.93243
5,32.45452,116.85168
6,32.5786,116.62245
7,31.85959,116.61845
8,32.64003,115.47456
9,32.65375,115.38749
10,22.89546,109.92306
11,24.16149,110.31808
12,19.84581,90.5341
13,18.64339,91.80356
14,17.53736,92.01638
15,14.9074,92.26477
16,16.73536,92.65267
17,16.75449,93.1149
18,28.67046,106.08933
19,31.68332,106.40911
20,28.41327,106.85792
21,28.19928,105.47048
22,26.93192,105.66488
23,30.41785,107.91105
24,19.39676,99.15577
25,19.43769,99.17771
26,19.43641,99.14896
27,19.40568,99.11169
28,19.27677,99.12627
29,19.34493,99.18006
30,25.44774,100.9895
31,25.57828,103.44496
32,28.69774,100.51446
33,26.90694,101.44047
34,27.84764,101.1205
35,19.25646,103.69383
36,19.08074,104.2888
37,24.02796,104.66215
38,19.79071,99.87559
39,19.26119,98.89563
40,19.65082,99.20879
41,19.5592,99.01894
42,19.27551,99.60521
43,19.53901,99.2002
44,19.4721,99.22543
45,19.36357,98.98986
46,19.70005,98.98019
47,19.51376,98.88166
48,21.01522,101.2525
49,21.14726,101.67557
50,20.52333,100.83443
51,20.6817,101.38383
52,20.58483,101.20598
53,20.90676,100.7277
54,17.562,99.50733
55,16.86196,99.8867
56,18.35896,99.52915
57,17.64007,101.55849
58,20.06261,98.7849
59,21.14872,98.40273
60,20.47824,99.222
61,20.05553,99.33419
62,20.0807,98.37013
63,19.77112,104.36647
64,19.704714,103.46583
65,20.69189,103.37368
66,20.65435,103.37877
67,20.72242,103.42997
68,21.37178,101.92245
69,20.36679,102.77042
70,20.64049,105.22094
71,20.80965,102.75358
72,19.08893,102.35489
73,20.34548,102.03188
74,17.96031,102.20203
75,19.5177,101.60872
76,19.42162,102.06397
77,19.97814,102.28402
78,19.4365,100.35321
79,18.82088,98.94784
80,18.95689,99.2348
81,21.51213,104.90847
82,25.1887,99.82429
83,25.66939,100.32027
84,25.69467,100.23803
85,25.6536,100.3459
86,17.83265,97.78338
87,16.43801,95.02217
88,17.06833,96.72447
89,15.86634,97.07863
90,16.18075,95.19533
91,18.08992,96.13304
92,18.89851,98.43057
93,19.83778,98.03248
94,20.17394,98.05333
95,18.60296,98.46508
96,19.04241,98.19975
97,19.02806,98.23741
98,19.05935,98.25712
99,19.28683,98.45002
100,18.46195,97.39239
101,20.61425,100.38699
102,20.59137,100.39358
103,20.38933,99.98461
104,18.49356,88.29957
105,20.6354,87.07646
106,21.14358,86.82181
107,21.99412,99.01454
108,23.64707,100.64265
109,22.14868,100.97882
110,25.46135,108.08276
111,25.56228,108.46389
112,25.80252,108.99187
113,24.79354,107.40159
114,23.19384,106.42508
115,29.06814,110.95897
116,27.48145,109.9731
117,31.28298,110.93737
118,17.74417,91.76509
119,17.99636,92.9397
120,22.74234,98.97074
121,25.87488,97.52036
122,23.73115,99.15001
123,27.49814,99.50674
124,26.06575,98.2923
125,22.21263,97.85706
126,19.41139,98.13977
127,19.31233,98.2523
128,18.76547,95.757
129,18.90067,96.94574
130,20.06413,97.05103
131,18.86398,97.0995
132,22.05645,98.17865
133,20.53186,97.46534
134,19.19764,96.133
135,18.44918,95.21033
136,20.95335,97.40161
137,19.53007,96.92281
138,19.14697,96.10556
139,18.14284,94.41214
140,20.96768,89.61669
141,20.69178,88.20626
142,21.02314,89.6249
143,22.76483,102.58098
