id,latitud,longitud
1,25.6441,-100.2831
2,25.6675,-100.3142
3,25.6511,-100.2927
4,25.6748,-100.3421
5,25.6782,-100.3695
6,25.7075,-100.3654
7,25.742,-100.415
8,25.6819,-100.3524
9,25.6834,-100.3498
10,25.5785,-100.2483
11,25.6801,-100.3512
12,25.661,-100.402
13,25.6605,-100.3615
14,25.658,-100.382
15,25.6465,-100.3285
16,25.648,-100.334
17,25.64,-100.32
18,25.665,-100.372
19,25.654,-100.347
20,25.753,-100.293
21,25.742,-100.312
22,25.748,-100.275
23,25.764,-100.3223
24,25.733,-100.315
25,25.731,-100.321
26,25.741,-100.262
27,25.677,-100.245
28,25.694,-100.252
29,25.652,-100.241
30,25.659,-100.211
31,25.628,-100.285
32,25.671,-100.295
33,25.681,-100.288
34,25.674,-100.461
35,25.676,-100.485
36,25.68,-100.45
37,25.782,-100.188
38,25.751,-100.175
39,25.765,-100.201
40,25.732,-100.192
41,25.772,-100.235
42,25.808,-100.323
43,25.765,-100.298
44,25.725,-100.385
45,25.701,-100.345
46,25.728,-100.332
47,25.775,-100.395
48,25.698,-100.268
49,25.741,-100.355
50,25.695,-100.308
