id,latitud,longitud
1,25.68389,-100.31794
2,25.70496,-100.33342
3,25.68645,-100.32088
4,25.72154,-100.34271
5,25.67817,-100.31784
6,25.6671,-100.3155
7,25.63714,-100.28289
8,25.72151,-100.36107
9,25.83361,-100.36696
10,25.79592,-100.34424
11,25.7933,-100.30837
12,25.7818,-100.29249
13,25.77478,-100.31757
14,25.79413,-100.32266
15,25.77677,-100.33165
16,25.77842,-100.31774
17,25.76919,-100.31281
18,25.7818,-100.3095
19,25.74438,-100.30079
20,25.75355,-100.27223
21,25.72437,-100.22217
22,25.71014,-100.24689
23,25.74514,-100.29404
24,25.73713,-100.26827
25,25.75866,-100.28676
26,25.7336,-100.29154
27,25.75598,-100.26631
28,25.72905,-100.27468
29,25.78451,-100.2379
30,25.80122,-100.2233
31,25.76006,-100.16553
32,25.78389,-100.2666
33,25.77784,-100.19612
34,25.7814,-100.18806
35,25.70987,-100.15782
36,25.73674,-100.16187
37,25.77068,-100.24079
38,25.75323,-100.15409
