id,latitud,longitud
1,25.7791193,-100.3175146
2,25.7864189,-100.292764
3,25.8027693,-100.276024
4,25.7585377,-100.2960282
5,25.7768298,-100.2555377
6,25.7839146,-100.2254595
7,25.7540125,-100.27459
8,25.7419548,-100.2644375
9,25.7358143,-100.2443907
10,25.7222338,-100.2028699
11,25.7193187,-100.2352834
12,25.6931705,-100.2420956
13,25.7108738,-100.2632153
14,25.7177035,-100.2864348
15,25.7028418,-100.2877349
16,25.7530716,-100.3643331
17,25.7248669,-100.3419311
18,25.6987076,-100.3514057
19,25.6861313,-100.3255686
20,25.7448689,-100.1799877
21,25.7769522,-100.1838125
22,25.6618678,-100.2980022
23,25.6606554,-100.398211
24,25.6294808,-100.2987646
25,25.6747517,-100.1986312
26,25.6547471,-100.2144565
27,25.6555259,-100.1847744
28,25.6246146,-100.1731647
29,25.6430294,-100.1638961
30,25.6225364,-100.1536229
31,25.6552732,-100.1335478
32,25.644555,-100.1187824
33,25.6401685,-100.0883087
34,25.7056644,-100.1620922
