id,Latitud,Longitud
1,25.67707,-100.32161
2,25.65535,-100.29436
3,25.61711,-100.26714
4,25.6172,-100.2785
5,25.64564,-100.29277
6,25.5689,-100.2423
7,25.5785,-100.2498
8,25.5701,-100.2445
9,25.5728,-100.2469
10,25.6512,-100.3583
11,25.5842,-100.2594
12,25.6205,-100.3321
13,25.5621,-100.2368
14,25.56614,-100.23871
15,25.5806,-100.2553
16,25.5608,-100.2352
17,25.5615,-100.2375
18,25.6648,-100.2819
19,25.5719,-100.2507
20,25.5871,-100.2638
21,25.5633,-100.2395
22,25.5789,-100.2621
23,25.5905,-100.2674
24,25.5764,-100.2536
25,25.5648,-100.2409
26,25.6388,-100.3421
27,25.5725,-100.2548
28,25.5932,-100.2715
29,25.6425,-100.3217
30,25.6314,-100.3112
31,25.5709,-100.2521
32,25.6189,-100.3358
33,25.6213,-100.3389
34,25.6357,-100.3394
35,25.6098,-100.3265
36,25.6298,-100.3138
37,25.6174,-100.3412
38,25.6256,-100.3018
39,25.6145,-100.3376
40,25.7058,-100.3472
41,25.6549,-100.3531
42,25.6482,-100.3765
43,25.6429,-100.3689
44,25.6865,-100.3588
45,25.6783,-100.3512
46,25.6687,-100.3624
47,25.6612,-100.3715
48,25.6718,-100.3789
49,25.6912,-100.3687
50,25.6497,-100.3842
51,25.6674,-100.3911
52,25.6978,-100.3736
53,25.6589,-100.3677
54,25.6523,-100.3798
55,25.6087,-100.2934
56,25.6052,-100.2891
57,25.6028,-100.2915
58,25.6401,-100.3612
59,25.6835,-100.3634
60,25.6014,-100.2876
61,25.6338,-100.3045
62,25.6352,-100.3078
63,25.6819,-100.3526
64,25.6745,-100.3823
65,25.66849,-100.31336
66,25.6472,-100.4015
67,25.7531,-100.1938
68,25.6385,-100.3972
69,25.6324,-100.4089
70,25.6982,-100.3321
